District,Licensed Educators,Instructional Personnel,Classroom Teacher,Principal,Superintendent
Alamo,48397,47344,45865,79265,100000
Alcoa ,68433,67883,65064,99617,121717
Anderson County,52521,51957,48515,89789,156000
Arlington,67164,66100,63196,112610,183710
Athens,59150,58365,54635,100481,128810
Bartlett,63568,62853,59690,112179,194600
Bedford County,52017,51891,49949,81366,116360
Bells,51252,50406,47242,74000,81000
Benton County,50247,49861,47737,68095,97857
Bledsoe County,54766,54298,51780,71830,109791
Blount County,56165,55962,53549,91147,143622
Bradford,49342,48469,45301,79900,95090
Bradley County,55768,55505,53370,85044,152236
Bristol,59832,59444,56460,101146,150000
Campbell County,52378,52130,49710,75606,117405
Cannon County,50154,49920,47584,70621,89800
Carroll County,54071,49419,45383,73743,105245
Carter County,48146,47985,46183,65239,96000
Cheatham County,49436,49011,47086,74919,135000
Chester County,48330,47797,45351,77179,109465
Claiborne County,49887,49247,47018,74009,106500
Clay County,51734,51054,48330,68839,83165
Cleveland,58752,57932,54823,99284,155118
Clinton,54605,52798,50606,70425,106058
Countycke County,51371,50909,48456,78664,129370
Countyffee County,51045,50455,48537,72550,112366
Countyllierville,62680,62149,59530,108620,180000
Crockett County,50317,49562,47324,69644,114000
Cumberland County,48540,48309,46090,77238,109778
Davidson County,56427,56121,52855,105707,285000
Dayton,52392,51867,50804,74270,61000
Decatur County,51908,51382,49136,77015,96000
Dekalb County,48849,48653,46839,70812,90000
Dickson County,50014,49728,47650,77522,138100
Dyer County,54857,54655,52045,87438,123155
Dyersburg,57474,56773,54508,89965,144000
Elizabethton,53023,52442,50349,82153,118787
Etowah,54223,52910,49600,83858,63409
Fayette County,49987,49163,46689,72904,140000
Fayetteville,56770,56166,52732,87679,128635
Fentress County,49657,49251,46848,69195,93635
Franklin ,65986,64831,61822,112313,210406
Franklin County,51938,51553,49376,80265,113750
Germantown,63304,62267,59430,111822,175593
Gibson County. Spec.,52026,51446,48643,81875,117000
Giles County,51178,50752,48405,79997,119000
Grainger County,50591,51063,48915,72132,99614
Greene County,51855,51551,49563,76268,109166
Greeneville,58108,57678,54448,96211,148400
Grundy County,46148,45630,43792,64770,85000
Hamblen County,54354,54173,52310,87753,154530
Hamilton County,57940,57514,54751,102651,230927
Hancock County,48373,47361,45288,57690,86904
Hardeman County,52741,52419,49743,77824,114312
Hardin County,48856,48363,45943,67558,97819
Hawkins County,48378,48148,46225,68152,105000
Haywood County,48569,47949,45142,76513,113610
Henderson County,51783,51388,49294,72304,120000
Henry County,54282,53950,51739,82273,130027
Hickman County,50658,50288,47497,81081,109000
Hollow Rock-Br,50542,49548,47427,71347,104376
Houston County,53834,53295,50332,74843,96889
Humboldt,51686,50130,46488,79167,137003
Humphreys County,49935,49761,47761,69606,93840
Huntingdon,54394,53691,51866,79958,102625
Jackson County,49742,49320,46750,68257,83945
Jefferson County,51047,50762,48699,78341,125000
Johnson City,64044,63659,61277,102565,156026
Johnson County,46882,46433,44181,65738,99755
Kingsport,60854,60340,57778,98706,170138
Knox County,55887,55551,52534,102026,215867
Lake County,47778,46804,43624,70916,99562
Lakeland,62273,61150,58907,115250,174560
Lauderdale County,51121,50535,47720,84376,133133
Lawrence County,52875,52433,50468,79244,127405
Lebanon ,60516,59773,56886,98702,148173
Lenoir City,59742,59259,55580,97435,141626
Lewis County,53562,52937,50572,77205,131840
Lexington,49591,48935,45784,65066,97500
Lincoln County,52552,51756,49266,84529,153040
Loudon County,53046,52779,49633,89818,128500
Macon County,51140,50826,48491,78316,98222
Madison County,53627,53511,50760,90998,130000
Manchester,56327,55312,53541,76254,118927
Marion County,52427,51737,49670,74907,170744
Marshall County,53426,53112,50997,81815,130446
Maryville,69444,68689,66863,112224,185200
Maury County,52504,52230,50098,90304,180000
Mckenzie,53058,52425,50203,77866,94364
Mcminn County,52624,52255,50221,82306,117160
Mcnairy County,49822,49455,47612,78114,101850
Meigs County,54818,54450,51230,77194,109300
Milan,51142,50605,47679,92334,111436
Millington,60129,59365,55719,109009,147900
Monroe County,50644,50349,48543,73238,100000
Montgomery County,53698,53583,52472,65794,191537
Moore County,54041,53130,50456,79618,96381
Morgan County,50064,49806,47515,75169,100940
Murfreesboro,59584,59356,56758,94533,127508
Newport,51933,51229,49525,68462,95500
Oak Ridge,70097,69567,66926,96667,202359
Obion County,51378,51120,49175,74471,110000
Oneida ,50509,49768,47551,79262,92522
Overton County,46807,46355,44578,62522,87257
Paris,54720,54298,51662,92173,109151
Perry County ,52468,51701,48582,71135,109450
Pickett County,53786,52817,50498,55459,90685
Polk County,56922,56471,54185,80516,111816
Putnam County,52201,51980,49643,80032,108120
Rhea County,49239,48841,46349,81889,123403
Richard City,46218,45255,44015,56215,65000
Roane County,55396,55213,52737,83330,125000
Robertson County,51129,50594,48496,81407,135924
Rogersville,54045,53027,51082,86651,107981
Rutherford County,57254,57051,54850,103403,160224
Scott County,49671,49239,47369,69691,94153
Sequatchie County,51048,50452,48263,75837,112507
Sevier County,55975,55542,53279,95583,160426
Shelby County,63213,63084,59317,114098,327421
Smith County,48612,47852,44880,71331,150243
South Carroll,51086,51086,49161,67790,98191
State Average,55554,55210,52596,90314,127387
Stewart County,53455,53175,50609,71003,104550
Sullivan County,51897,51582,50100,79503,133833
Sumner County,51511,51441,49468,91438,204639
Sweetwater,56222,55800,53281,78494,103831
Tipton County,56153,55813,53522,87969,141780
Trenton,52247,51460,48273,79512,106836
Trousdale County,53432,52951,49482,89992,102250
Tullahoma,55781,55781,53136,94114,165000
Unicoi County,49621,49208,46973,69561,116636
Union City,53826,52933,50698,86283,129108
Union County,48058,47506,45016,71987,103290
Van Buren County,53742,53255,50713,78811,89298
Warren County,49816,49438,47607,75767,108597
Washington County,51469,51129,49665,67747,132651
Wayne County,50542,50371,48532,67710,104046
Weakley County,49066,48598,46481,76578,139425
West Carroll,48945,48291,46356,71200,102370
White County,53198,52876,51497,70871,96107
Williamson County,58234,58129,54758,117726,290488
Wilson County ,51923,51567,48791,90813,175000
